subtitle,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking
Butarque,106.0,3,2.0,251569,2373,multi-storey building,False,True,True,True,False
Butarque,103.0,3,2.0,235402,2285,multi-storey building,False,True,True,True,False
Butarque,103.0,3,2.0,235172,2283,multi-storey building,False,True,True,True,False
Butarque,103.0,3,2.0,236227,2293,multi-storey building,False,True,True,True,False
Butarque,114.0,3,2.0,254710,2234,multi-storey building,False,True,True,True,False
San Andrés,150.0,2,1.0,159000,1060,mansion,True,False,False,False,True
Butarque,140.0,3,3.0,272500,1946,duplex,False,False,True,True,False
Los Rosales,58.0,3,1.0,85000,1466,multi-storey building,False,False,False,True,False
San Cristóbal,65.0,3,1.0,94000,1446,multi-storey building,False,False,False,True,False
Los Rosales,110.0,4,2.0,175000,1591,multi-storey building,False,False,False,True,False
Villaverde,173.0,4,2.0,268000,1549,multi-storey building,False,False,True,True,True
Villaverde,75.0,2,1.0,156000,2080,penthouse,False,False,True,True,False
Butarque,90.0,1,1.0,183159,2035,penthouse,False,True,True,True,True
Los Rosales,125.0,3,2.0,210000,1680,multi-storey building,False,False,True,True,True
San Andrés,58.0,2,1.0,85000,1466,multi-storey building,False,False,False,True,False
Los Ángeles,92.0,3,1.0,159900,1738,multi-storey building,False,False,True,True,False
San Andrés,70.0,2,1.0,117000,1671,multi-storey building,False,False,False,True,False
San Andrés,54.0,2,1.0,110000,2037,multi-storey building,False,False,False,True,False
Villaverde,52.0,2,1.0,100000,1923,multi-storey building,False,False,False,True,False
San Andrés,108.0,3,1.0,140000,1296,multi-storey building,False,False,False,True,False
Los Rosales,65.0,2,1.0,106500,1638,multi-storey building,False,False,False,True,False
Los Rosales,102.0,3,2.0,127500,1250,multi-storey building,False,False,False,True,False
San Andrés,80.0,2,1.0,148000,1850,multi-storey building,False,False,True,True,True
Butarque,108.0,2,1.0,205000,1898,duplex,False,False,True,True,True
Los Rosales,80.0,3,2.0,220000,2750,multi-storey building,False,False,True,True,True
Los Rosales,16.0,3,1.0,114000,7125,multi-storey building,False,False,False,True,False
San Andrés,54.0,2,1.0,89900,1665,multi-storey building,False,False,False,True,False
Los Rosales,70.0,2,2.0,210000,3000,multi-storey building,False,False,True,True,True
San Andrés,99.0,2,2.0,145000,1465,multi-storey building,False,False,True,True,False
Los Rosales,123.0,4,2.0,275000,2236,multi-storey building,False,False,True,True,False
Los Ángeles,64.0,3,1.0,104000,1625,multi-storey building,False,False,False,True,False
